Fecha,Apertura,Maximo,Minimo,Cierre,Volumen,Capacidad de mercado
"Dec 18, 2022",16795.61,16815.39,16697.82,16757.98,10924354698,322379914497
"Dec 17, 2022",16646.98,16800.59,16614.03,16795.09,14463581825,323078968932
"Dec 16, 2022",17364.55,17505.53,16584.70,16647.48,24031608960,320225997954
"Dec 15, 2022",17813.64,17846.74,17322.59,17364.86,20964448341,334010450284
"Dec 14, 2022",17782.07,18318.53,17739.51,17815.65,25534481470,342665763913
"Dec 13, 2022",17206.44,17930.09,17111.76,17781.32,26634741631,341988994228
"Dec 12, 2022",17102.50,17212.56,16899.39,17206.44,19617581341,330914961275
"Dec 11, 2022",17129.71,17245.64,17091.82,17104.19,14122486832,328933297476
"Dec 10, 2022",17134.22,17216.83,17120.68,17128.72,12706781969,329389313683
"Dec 09, 2022",17232.15,17280.55,17100.84,17133.15,20328426366,329458400093
"Dec 08, 2022",16847.35,17267.92,16788.78,17233.47,20496603770,331370511898
"Dec 07, 2022",17089.51,17109.38,16750.56,16848.13,19675404389,323943465219
"Dec 06, 2022",16975.24,17091.86,16939.92,17089.50,19889922369,328566216152
"Dec 05, 2022",17128.89,17378.15,16922.43,16974.83,22209086834,326346115860
"Dec 04, 2022",16908.17,17157.77,16903.44,17130.49,16824520830,329323845089
"Dec 03, 2022",17090.10,17116.04,16888.14,16908.24,16217776704,325037180855
"Dec 02, 2022",16968.68,17088.66,16877.88,17088.66,19539705127,328491679165
"Dec 01, 2022",17168.00,17197.50,16888.39,16967.13,22895392882,326142124579
"Nov 30, 2022",16445.48,17190.94,16445.48,17168.57,29523576583,329997633644
"Nov 29, 2022",16217.64,16522.26,16139.40,16444.98,23581685468,316074930083
"Nov 28, 2022",16440.22,16482.93,16054.53,16217.32,27743025156,311686396568
"Nov 27, 2022",16463.88,16594.41,16437.03,16444.63,20443898509,316040534592
"Nov 26, 2022",16521.58,16666.86,16416.23,16464.28,18000008764,316404791285
"Nov 25, 2022",16602.27,16603.32,16388.40,16521.84,18678255976,317499392769
"Nov 24, 2022",16611.64,16771.48,16501.77,16604.47,26129037414,319074189335
"Nov 23, 2022",16195.59,16638.19,16170.50,16610.71,32958875628,319180537510
"Nov 22, 2022",15782.30,16253.05,15656.61,16189.77,30726828760,311078520949
"Nov 21, 2022",16291.22,16291.22,15599.05,15787.28,37429485518,303332140407
"Nov 20, 2022",16712.92,16746.78,16248.69,16291.83,21313378652,313012826680
"Nov 19, 2022",16696.22,16797.88,16570.41,16711.55,16106223492,321061621176
"Nov 18, 2022",16687.91,16947.06,16564.61,16697.78,26862218609,320781106963
"Nov 17, 2022",16670.43,16726.44,16460.68,16687.52,27868914022,320570440521
"Nov 16, 2022",16884.34,16960.30,16430.11,16669.44,33925512989,320208159887
"Nov 15, 2022",16617.48,17051.96,16542.55,16884.61,36599436183,324326299580
"Nov 14, 2022",16352.03,17109.32,15872.94,16618.20,49630243054,319192915033
"Nov 13, 2022",16799.72,16920.77,16320.64,16353.37,27209183682,314093257178
"Nov 12, 2022",17036.88,17066.68,16651.77,16799.18,29717699419,322642084634
"Nov 11, 2022",17583.25,17650.94,16543.48,17034.29,55871616488,327139766936
"Nov 10, 2022",15883.16,18054.31,15834.02,17586.77,83202283721,337735690620
"Nov 09, 2022",18543.76,18590.46,15682.69,15880.78,102905151606,304958504278
"Nov 08, 2022",20600.67,20664.61,17603.54,18541.27,118992465607,356030188153
"Nov 07, 2022",20924.62,21053.25,20489.97,20602.82,53510852236,395596352770
"Nov 06, 2022",21285.06,21345.38,20920.19,20926.49,35082693210,401792318391
"Nov 05, 2022",21144.83,21446.89,21097.64,21282.69,37846047609,408613690153
"Nov 04, 2022",20208.77,21209.56,20188.02,21147.23,64072727950,405992446611
"Nov 03, 2022",20162.69,20382.10,20086.24,20209.99,43228750179,387983112928
"Nov 02, 2022",20482.96,20742.81,20087.13,20159.50,55552169483,386993271474
"Nov 01, 2022",20494.90,20647.29,20359.85,20485.27,39819303159,393230695988
"Oct 31, 2022",20633.70,20795.32,20287.46,20495.77,45668466815,393413045573
"Oct 30, 2022",20817.98,20917.01,20547.46,20635.60,31486345556,396075135322
"Oct 29, 2022",20595.10,20988.39,20566.48,20818.48,40369840645,399567972100
"Oct 28, 2022",20287.96,20724.98,20086.07,20595.35,43994715910,395266756395
"Oct 27, 2022",20772.80,20854.04,20255.37,20285.84,49625110402,389306507854
"Oct 26, 2022",20092.24,20938.13,20076.12,20770.44,58895950537,398588922091
"Oct 25, 2022",19344.96,20348.41,19261.45,20095.86,47761524910,385624152242
"Oct 24, 2022",19567.77,19589.12,19206.32,19345.57,30202235805,371211779873
"Oct 23, 2022",19207.73,19646.65,19124.20,19567.01,22128794335,375444263357
"Oct 22, 2022",19172.38,19248.07,19132.24,19208.19,16104440957,368541303588
"Oct 21, 2022",19053.20,19237.39,18770.97,19172.47,32459287866,367839754255
"Oct 20, 2022",19138.09,19315.20,18971.46,19053.74,24493974420,365543015077
"Oct 19, 2022",19335.03,19348.42,19127.69,19139.53,22425387184,367171621206
"Oct 18, 2022",19550.47,19667.00,19144.77,19334.42,30580012344,370891718468
"Oct 17, 2022",19268.56,19635.80,19173.33,19550.76,27472552998,375024092834
"Oct 16, 2022",19068.91,19389.60,19068.91,19268.09,17988916650,369584293836
"Oct 15, 2022",19185.44,19212.54,19019.25,19067.64,16192235532,365722351005
"Oct 14, 2022",19382.53,19889.15,19115.41,19185.66,38452356727,367967465553
"Oct 13, 2022",19156.97,19453.33,18319.82,19382.90,44219840004,371731749298
"Oct 12, 2022",19052.65,19203.20,19029.76,19157.45,24950173846,367391447230
"Oct 11, 2022",19139.00,19241.96,18925.60,19051.42,28711532910,365340817941
"Oct 10, 2022",19446.42,19515.47,19102.98,19141.48,27425022774,367049182259
"Oct 09, 2022",19417.48,19542.54,19349.26,19446.43,16837262532,372876821416
"Oct 08, 2022",19546.33,19601.70,19299.41,19416.57,16437423167,372284398575
"Oct 07, 2022",19957.56,20041.09,19395.79,19546.85,29227315390,374761116006
"Oct 06, 2022",20161.04,20408.39,19900.09,19955.44,34711412966,382574032286
"Oct 05, 2022",20335.90,20343.75,19801.80,20160.72,33223790572,386489739243
"Oct 04, 2022",19623.58,20380.34,19523.84,20336.84,35887278685,389843287588
"Oct 03, 2022",19044.07,19653.54,19025.23,19623.58,30484729489,376151028151
"Oct 02, 2022",19311.85,19370.31,18970.62,19044.11,20765955327,365024821954
"Oct 01, 2022",19431.10,19471.15,19231.08,19312.09,18719537670,370142714487
"Sep 30, 2022",19573.43,20109.85,19265.66,19431.79,43975248085,372414733487
"Sep 29, 2022",19427.78,19589.27,18924.35,19573.05,41037843771,375100872175
"Sep 28, 2022",19104.62,19688.34,18553.30,19426.72,53071298734,372279603227
"Sep 27, 2022",19221.84,20338.46,18915.67,19110.55,58571439619,366202733264
"Sep 26, 2022",18803.90,19274.87,18721.29,19222.67,44148798321,368335944296
"Sep 25, 2022",18936.31,19134.73,18696.47,18802.10,23359966112,360259346858
"Sep 24, 2022",19296.99,19310.20,18861.97,18937.01,26149643168,362826506172
"Sep 23, 2022",19412.40,19464.67,18617.55,19297.64,38896078052,369718966325
"Sep 22, 2022",18534.65,19456.91,18415.59,19413.55,41135767926,371923967755
"Sep 21, 2022",18891.28,19674.63,18290.32,18547.40,46363793975,355314855624
"Sep 20, 2022",19545.59,19602.46,18813.46,18890.79,36791346508,361876433047
"Sep 19, 2022",19418.57,19639.48,18390.32,19544.13,40177002624,374373522207
"Sep 18, 2022",20127.23,20127.23,19387.49,19419.51,31254779144,371970445843
"Sep 17, 2022",19777.03,20162.53,19777.03,20127.58,24957448100,385513277845
"Sep 16, 2022",19704.01,19870.63,19400.08,19772.58,30123362273,378693173324
"Sep 15, 2022",20242.29,20318.17,19636.73,19701.21,36389011503,377311288517
"Sep 14, 2022",20184.56,20467.20,19793.40,20241.09,37872380889,387631908835
"Sep 13, 2022",22371.48,22673.82,20062.67,20296.71,51091116622,388682319976
"Sep 12, 2022",21770.15,22439.18,21603.90,22370.45,50212088965,428373958242
"Sep 11, 2022",21678.54,21770.55,21406.94,21769.26,34493951963,416840289162
"Sep 10, 2022",21376.91,21760.28,21168.72,21680.54,36913738894,415117548315
"Sep 09, 2022",19328.14,21439.41,19310.96,21381.15,48469528171,409363809141
"Sep 08, 2022",19289.94,19417.35,19076.71,19329.83,32194477850,370071738763
"Sep 07, 2022",18837.68,19427.17,18644.47,19290.32,35239757134,369299496559
"Sep 06, 2022",19817.72,20155.27,18800.17,18837.67,43403978910,360616650169
"Sep 05, 2022",19988.79,20031.16,19673.05,19812.37,28813460025,379258182345
"Sep 04, 2022",19832.47,19999.69,19636.82,19986.71,25245861652,382576542382
"Sep 03, 2022",19969.72,20037.01,19698.36,19832.09,23613051457,379595440557
"Sep 02, 2022",20126.07,20401.57,19814.77,19969.77,29123998928,382212933184
"Sep 01, 2022",20050.50,20198.39,19653.97,20127.14,30182031010,385208305832
"Aug 31, 2022",19799.58,20420.99,19799.58,20049.76,33225232872,383710102295
"Aug 30, 2022",20298.61,20542.64,19617.64,19796.81,34483360283,378850670474
"Aug 29, 2022",19615.15,20357.46,19600.79,20297.99,32637854078,388422039679
